epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.7959,2.32414,2.71758,1.55746,0.55561,0.82333,0.57277,0.23304,2.22945,1.91815,1.48466,0.000544553,0.000544553,0.000544553
2,63.1058,2.37313,2.19804,1.59552,0.90881,0.35867,0.46196,0.15305,2.53769,1.8846,1.59305,0.00108933,0.00108933,0.00108933
3,97.4739,2.98455,2.51758,1.87807,0.80042,0.25,0.21787,0.0604,3.08274,2.28199,1.97709,0.0016231,0.0016231,0.0016231
4,130.571,2.64555,2.71331,1.7168,0.93639,0.3431,0.40767,0.14588,2.5629,2.02965,1.55645,0.00161749,0.00161749,0.00161749
5,164.655,2.24622,2.66799,1.43502,0.93639,0.3431,0.40767,0.14588,2.5629,2.02965,1.55645,0.00160099,0.00160099,0.00160099
6,199.093,2.05913,2.58052,1.4329,0.93627,0.41078,0.43484,0.18216,2.21122,2.23475,1.43104,0.00158448,0.00158448,0.00158448
7,232.091,2.16111,2.32765,1.43022,0.96522,0.4,0.45627,0.22499,2.09925,2.06688,1.39557,0.00156798,0.00156798,0.00156798
8,265.815,2.21055,2.34992,1.49892,0.90835,0.44558,0.44983,0.20727,2.02027,1.8231,1.44114,0.00155148,0.00155148,0.00155148
9,299.817,2.1338,2.30978,1.55779,0.90835,0.44558,0.44983,0.20727,2.02027,1.8231,1.44114,0.00153497,0.00153497,0.00153497
10,333.81,1.89994,2.13142,1.29027,0.93139,0.41,0.44476,0.20503,1.98876,1.88278,1.43649,0.00151847,0.00151847,0.00151847
11,367.164,1.73315,2.05666,1.31994,0.95357,0.39,0.44886,0.21825,1.95061,1.8613,1.4019,0.00150197,0.00150197,0.00150197
12,400.538,2.01607,2.13804,1.40651,0.87265,0.44,0.44215,0.20636,1.92072,1.94137,1.38087,0.00148546,0.00148546,0.00148546
13,434.446,1.71251,2.24373,1.26398,0.86032,0.42,0.4304,0.19087,1.99532,1.94541,1.45863,0.00146896,0.00146896,0.00146896
14,468.624,1.80406,2.16271,1.36061,0.86032,0.42,0.4304,0.19087,1.99532,1.94541,1.45863,0.00145246,0.00145246,0.00145246
15,502.735,1.89317,2.03382,1.34043,0.86685,0.41,0.45616,0.19875,2.0562,1.94907,1.45614,0.00143595,0.00143595,0.00143595
16,535.826,1.7459,1.89579,1.29915,0.93874,0.38,0.48216,0.23251,1.94863,1.94097,1.34712,0.00141945,0.00141945,0.00141945
17,570.203,1.6692,1.86564,1.20829,0.893,0.39,0.46422,0.22157,1.90057,1.90573,1.32725,0.00140295,0.00140295,0.00140295
18,604.407,1.7389,1.89288,1.25282,0.91828,0.40951,0.45506,0.2164,1.85444,1.77576,1.33248,0.00138644,0.00138644,0.00138644
19,638.153,1.67917,1.80275,1.27655,0.91828,0.40951,0.45506,0.2164,1.85444,1.77576,1.33248,0.00136994,0.00136994,0.00136994
20,671.737,1.82703,2.00982,1.2944,0.97488,0.37816,0.48875,0.2413,1.83931,1.6305,1.32317,0.00135344,0.00135344,0.00135344
21,705.941,1.76385,1.62409,1.25662,0.90921,0.45075,0.5564,0.25927,1.84324,1.56129,1.34905,0.00133693,0.00133693,0.00133693
22,739.88,1.65932,1.74028,1.22709,0.9786,0.44736,0.6026,0.27798,1.81893,1.45221,1.33938,0.00132043,0.00132043,0.00132043
23,773.472,1.53838,1.67503,1.12078,0.9786,0.44736,0.6026,0.27798,1.81893,1.45221,1.33938,0.00130393,0.00130393,0.00130393
