epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.85524,2.33551,4.32287,1.57687,0.86543,0.38384,0.50948,0.15696,2.11946,2.66745,1.37949,0.00055011,0.00055011,0.00055011
2,17.0296,2.04704,2.77736,1.44076,0.45752,0.86564,0.52635,0.25019,1.74322,2.68261,1.35457,0.00108388,0.00108388,0.00108388
3,25.2672,1.9962,2.5328,1.34886,0.83997,0.71988,0.8538,0.30113,2.28882,2.7265,1.30747,0.00159565,0.00159565,0.00159565
4,33.3613,2.06236,2.3135,1.39655,0.4367,0.76403,0.46016,0.20497,2.49209,3.10794,1.70185,0.00156798,0.00156798,0.00156798
5,41.4016,2.13414,2.31818,1.39205,0.92038,0.88138,0.92767,0.37229,2.16736,1.67145,1.60749,0.00153497,0.00153497,0.00153497
6,49.6312,2.00894,2.1492,1.36084,0.69523,0.76468,0.7513,0.30811,2.31255,1.58603,1.49477,0.00150197,0.00150197,0.00150197
7,57.6505,1.92113,2.07996,1.34649,0.78099,0.86049,0.89845,0.43139,1.87462,1.41147,1.39775,0.00146896,0.00146896,0.00146896
8,65.8706,1.85002,2.08355,1.307,0.60817,0.85866,0.62528,0.29805,1.82386,1.67212,1.38317,0.00143595,0.00143595,0.00143595
9,73.8426,1.90352,1.95965,1.32084,0.64763,0.93494,0.70581,0.36889,1.76511,1.76776,1.3687,0.00140295,0.00140295,0.00140295
10,82.1426,1.8144,1.84896,1.28172,0.62592,0.95545,0.6534,0.3284,1.85839,1.72363,1.38088,0.00136994,0.00136994,0.00136994
11,90.1822,1.70776,1.81594,1.22457,0.72974,0.89228,0.91056,0.42811,1.82605,1.41407,1.16289,0.00133693,0.00133693,0.00133693
12,98.3221,1.69902,1.75683,1.25192,0.95411,0.72579,0.94988,0.41306,1.76362,1.4045,1.1627,0.00130393,0.00130393,0.00130393
13,106.266,1.59444,1.73888,1.19651,0.73956,0.89188,0.96751,0.51803,1.57765,1.66319,1.18832,0.00127092,0.00127092,0.00127092
14,114.827,1.56983,1.58328,1.22484,0.74105,0.90357,0.76717,0.37782,1.85414,1.55679,1.27687,0.00123791,0.00123791,0.00123791
15,122.678,1.69864,1.57658,1.23627,0.73835,0.93803,0.75046,0.38994,1.76982,1.57225,1.32778,0.00120491,0.00120491,0.00120491
16,130.691,1.5557,1.42107,1.20712,0.73217,0.96525,0.83584,0.37911,1.94926,1.17366,1.26226,0.0011719,0.0011719,0.0011719
17,138.814,1.50342,1.46253,1.19251,0.98608,0.87938,0.98003,0.49497,1.82817,1.03934,1.25306,0.00113889,0.00113889,0.00113889
18,146.894,1.54499,1.49979,1.1994,0.99087,0.84574,0.98263,0.51254,1.70505,1.21455,1.27503,0.00110589,0.00110589,0.00110589
19,154.94,1.64095,1.49897,1.2031,0.93284,0.81075,0.94127,0.40505,1.9599,1.90354,1.29424,0.00107288,0.00107288,0.00107288
