epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.4083,2.14145,5.26737,1.27726,0.00173,0.51852,0.00177,0.00076,2.16288,4.92156,1.24719,4e-05,4e-05,4e-05
2,59.3661,2.13439,4.98677,1.21146,0.00204,0.61111,0.00271,0.00105,1.8882,4.79755,1.16603,9.901e-05,9.901e-05,9.901e-05
3,90.3691,2.02773,4.48164,1.17546,0.00173,0.51852,0.00283,0.00107,1.75191,4.679,1.10116,0.000156832,0.000156832,0.000156832
4,120.968,1.78987,3.92272,1.13226,0.00185,0.55556,0.00445,0.00141,1.72653,4.66442,1.07586,0.000213466,0.000213466,0.000213466
5,151.512,1.89411,3.30656,1.07855,0.00191,0.57407,0.00483,0.00144,1.65631,4.59542,1.07679,0.000268912,0.000268912,0.000268912
6,182.013,1.95401,3.36602,1.16462,0.00191,0.57407,0.00443,0.00123,1.68381,4.6901,1.08689,0.00032317,0.00032317,0.00032317
7,212.416,1.85698,2.74348,1.1037,0.0016,0.48148,0.00315,0.00099,1.79876,4.66941,1.13196,0.00037624,0.00037624,0.00037624
8,242.482,1.80728,2.7424,1.13329,0.00167,0.5,0.00315,0.00107,1.75785,4.64925,1.11212,0.000428122,0.000428122,0.000428122
9,273.281,1.91761,2.93024,1.12308,0.0021,0.62963,0.00483,0.00132,1.74915,4.66872,1.12565,0.000478816,0.000478816,0.000478816
10,303.441,1.81472,2.88304,1.13762,0.0021,0.62963,0.00448,0.00134,1.7678,4.59357,1.13244,0.000528322,0.000528322,0.000528322
11,333.541,1.77191,2.45206,1.10335,0.00247,0.74074,0.00527,0.0017,1.78885,4.49809,1.11875,0.00057664,0.00057664,0.00057664
12,363.994,1.81182,2.43301,1.20859,0.00259,0.77778,0.00519,0.00173,1.85013,4.59916,1.13603,0.00062377,0.00062377,0.00062377
13,394.14,1.74173,2.40293,1.09383,0.00235,0.7037,0.00382,0.00104,1.97279,4.79328,1.20625,0.000669712,0.000669712,0.000669712
14,424.078,1.7252,2.41902,1.07491,0.0021,0.62963,0.00327,0.00089,1.96324,4.77477,1.20997,0.000714466,0.000714466,0.000714466
15,455.811,1.70412,2.17641,1.07521,0.00296,0.88889,0.00658,0.00183,1.80857,4.34536,1.10554,0.000758032,0.000758032,0.000758032
16,486.249,1.73479,1.95518,1.12072,0.00309,0.92593,0.00694,0.00212,1.73808,4.36734,1.09578,0.00080041,0.00080041,0.00080041
17,516.499,1.64657,2.06732,1.0799,0.00309,0.92593,0.00651,0.00196,1.85338,4.33486,1.13817,0.0008416,0.0008416,0.0008416
18,546.77,1.74487,2.09692,1.05708,0.00253,0.75926,0.00454,0.0015,1.85156,4.32031,1.17471,0.000881602,0.000881602,0.000881602
19,577.637,1.72184,2.17378,1.19682,0.00278,0.83333,0.00622,0.00245,1.84448,4.21395,1.15801,0.000920416,0.000920416,0.000920416
20,607.865,1.62571,1.89671,1.02878,0.00321,0.96296,0.1129,0.04227,1.80328,4.04039,1.13035,0.000958042,0.000958042,0.000958042
21,642.119,1.6492,1.87551,1.12772,0.00321,0.96296,0.14136,0.05924,1.79926,3.9585,1.13255,0.00099448,0.00099448,0.00099448
22,672.451,1.55128,1.94124,1.13124,0.00327,0.98148,0.23348,0.0641,1.83062,3.93228,1.15356,0.00102973,0.00102973,0.00102973
23,703.732,1.55478,1.8807,1.00899,0.00327,0.98148,0.1688,0.0412,1.84811,3.94504,1.15442,0.00106379,0.00106379,0.00106379
24,735.931,1.56659,1.84773,1.09219,0.00327,0.98148,0.14683,0.04532,1.91823,3.86554,1.16176,0.00109667,0.00109667,0.00109667
25,766.312,1.52956,1.67622,1.06827,0.00333,1,0.21835,0.07118,1.87162,3.77027,1.15742,0.00112835,0.00112835,0.00112835
26,795.492,1.50603,1.81131,1.0624,0.00327,0.98148,0.38044,0.14125,1.76296,3.58833,1.15271,0.00115885,0.00115885,0.00115885
27,825.13,1.60459,1.6565,1.04864,0.00333,1,0.51639,0.17865,1.77115,3.52081,1.14662,0.00118816,0.00118816,0.00118816
28,854.795,1.65818,1.68231,1.08682,0.00327,0.98148,0.50936,0.16724,1.90188,3.58227,1.20674,0.00121628,0.00121628,0.00121628
29,883.823,1.61131,1.60153,1.05193,0.00327,0.98148,0.50936,0.16724,1.90188,3.58227,1.20674,0.00124322,0.00124322,0.00124322
30,913.267,1.73276,1.65244,1.15242,0.00333,1,0.6339,0.19505,1.91428,3.50071,1.21359,0.00126896,0.00126896,0.00126896
31,943.751,1.55751,1.7272,1.08186,0.00327,0.98148,0.56823,0.21085,1.88071,3.38982,1.18306,0.00129352,0.00129352,0.00129352
32,974.699,1.47254,1.64189,1.11163,0.00315,0.94444,0.55487,0.19126,1.97013,3.38148,1.20832,0.00131689,0.00131689,0.00131689
33,1005.99,1.5518,1.54679,1.07537,0.00315,0.94444,0.55487,0.19126,1.97013,3.38148,1.20832,0.00133907,0.00133907,0.00133907
34,1037.85,1.65885,1.76716,1.08038,0.81541,0.49096,0.672,0.25125,1.93272,3.14445,1.20383,0.0013466,0.0013466,0.0013466
35,1070.15,1.39225,1.62321,1.05897,0.9094,0.37183,0.73015,0.31849,1.86206,2.98534,1.17756,0.0013268,0.0013268,0.0013268
36,1099.96,1.47495,1.54567,1.0531,0.92283,0.44298,0.73486,0.33939,1.87585,2.83669,1.16569,0.001307,0.001307,0.001307
37,1129.68,1.50801,1.62428,1.07344,0.92283,0.44298,0.73486,0.33939,1.87585,2.83669,1.16569,0.0012872,0.0012872,0.0012872
38,1163.95,1.49645,1.63033,1.09833,0.79017,0.48828,0.69254,0.28284,2.01004,2.85146,1.21237,0.0012674,0.0012674,0.0012674
39,1200.72,1.59201,1.53567,1.10135,0.7859,0.6118,0.70703,0.30674,1.93036,2.70084,1.19663,0.0012476,0.0012476,0.0012476
40,1235.68,1.46659,1.61804,1.07445,0.67297,0.62963,0.68574,0.27023,1.9873,2.59445,1.2152,0.0012278,0.0012278,0.0012278
41,1272.49,1.50937,1.52924,1.10507,0.67297,0.62963,0.68574,0.27023,1.9873,2.59445,1.2152,0.001208,0.001208,0.001208
42,1310.76,1.47662,1.4095,1.03617,0.76525,0.81481,0.75725,0.31199,1.90955,2.2631,1.21212,0.0011882,0.0011882,0.0011882
43,1346.49,1.42911,1.39925,1.06401,0.80056,0.81481,0.8505,0.31357,1.92531,2.08278,1.21989,0.0011684,0.0011684,0.0011684
44,1381.16,1.36395,1.4423,1.03592,0.74283,0.81481,0.76682,0.29086,1.98341,2.04963,1.23342,0.0011486,0.0011486,0.0011486
45,1414.84,1.40057,1.36131,0.99145,0.74283,0.81481,0.76682,0.29086,1.98341,2.04963,1.23342,0.0011288,0.0011288,0.0011288
46,1446.32,1.47951,1.39104,1.06515,0.69481,0.7589,0.65848,0.24013,2.07601,2.07043,1.25569,0.001109,0.001109,0.001109
47,1477.15,1.45424,1.34618,1.08184,0.66626,0.70244,0.65931,0.26745,2.07685,1.91554,1.29429,0.0010892,0.0010892,0.0010892
48,1506.86,1.48325,1.3068,1.07106,0.83912,0.7728,0.76284,0.32942,2.0219,1.76198,1.3301,0.0010694,0.0010694,0.0010694
49,1536.31,1.66606,1.43249,1.06139,0.83912,0.7728,0.76284,0.32942,2.0219,1.76198,1.3301,0.0010496,0.0010496,0.0010496
50,1566.25,1.4681,1.37776,0.99715,0.81829,0.75062,0.77052,0.33408,2.02152,1.82045,1.32206,0.0010298,0.0010298,0.0010298
51,1595.85,1.55876,1.43197,1.08102,0.76119,0.7037,0.68037,0.2697,2.16743,2.04626,1.33462,0.00101,0.00101,0.00101
52,1625.32,1.49713,1.38232,1.06251,0.74048,0.68519,0.65214,0.2618,2.20869,2.03796,1.33618,0.0009902,0.0009902,0.0009902
53,1654.62,1.42409,1.35988,1.03178,0.74048,0.68519,0.65214,0.2618,2.20869,2.03796,1.33618,0.0009704,0.0009704,0.0009704
54,1684.45,1.38143,1.3491,0.96697,0.82974,0.81481,0.7675,0.32148,2.09886,1.75267,1.32921,0.0009506,0.0009506,0.0009506
55,1714.11,1.23943,1.23703,1.02619,0.82486,0.83333,0.78129,0.3484,2.01263,1.55328,1.29911,0.0009308,0.0009308,0.0009308
56,1744.55,1.43394,1.24059,1.10385,0.8206,0.84714,0.79988,0.36116,1.9962,1.45413,1.31408,0.000911,0.000911,0.000911
57,1774.72,1.40404,1.25059,1.01104,0.8206,0.84714,0.79988,0.36116,1.9962,1.45413,1.31408,0.0008912,0.0008912,0.0008912
58,1804.3,1.19364,1.14236,0.96339,0.81863,0.85185,0.83139,0.36274,1.96398,1.42768,1.29369,0.0008714,0.0008714,0.0008714
59,1833.7,1.37822,1.22698,1.06238,0.82011,0.87037,0.85326,0.36642,1.93529,1.42813,1.27837,0.0008516,0.0008516,0.0008516
60,1863.2,1.18328,1.11735,0.98906,0.82024,0.84506,0.85783,0.32632,1.99383,1.47172,1.29483,0.0008318,0.0008318,0.0008318
61,1894.24,1.36692,1.30586,1.04745,0.82024,0.84506,0.85783,0.32632,1.99383,1.47172,1.29483,0.000812,0.000812,0.000812
62,1928.01,1.30241,1.17379,1.03188,0.85295,0.87037,0.85409,0.29692,2.04865,1.48031,1.31145,0.0007922,0.0007922,0.0007922
63,1965.77,1.22355,1.17832,0.98269,0.8323,0.83333,0.84444,0.31573,2.06676,1.47403,1.31751,0.0007724,0.0007724,0.0007724
64,1999.75,1.37907,1.20947,0.99594,0.81141,0.7963,0.79887,0.34304,2.02951,1.42309,1.29328,0.0007526,0.0007526,0.0007526
65,2031.23,1.11306,1.11132,0.95799,0.81141,0.7963,0.79887,0.34304,2.02951,1.42309,1.29328,0.0007328,0.0007328,0.0007328
66,2063.83,1.35205,1.1512,1.02756,0.80484,0.75926,0.80212,0.35694,2.02624,1.40313,1.29343,0.000713,0.000713,0.000713
67,2095.34,1.25445,1.06525,1.00865,0.85476,0.83333,0.84497,0.39234,2.01186,1.36297,1.28905,0.0006932,0.0006932,0.0006932
68,2127.23,1.2509,1.03987,0.96769,0.89366,0.88889,0.89555,0.39835,1.99684,1.31649,1.28382,0.0006734,0.0006734,0.0006734
69,2159.28,1.17837,1.09532,0.99039,0.89366,0.88889,0.89555,0.39835,1.99684,1.31649,1.28382,0.0006536,0.0006536,0.0006536
70,2190.77,1.27036,1.29912,0.97112,0.89875,0.87037,0.89406,0.39426,1.98137,1.29513,1.2791,0.0006338,0.0006338,0.0006338
71,2222.81,1.33941,1.1977,1.00148,0.90039,0.90741,0.93644,0.40704,1.9689,1.29911,1.27341,0.000614,0.000614,0.000614
72,2256.1,1.24065,1.12313,1.00035,0.92532,0.91792,0.9362,0.40581,1.96119,1.32845,1.25399,0.0005942,0.0005942,0.0005942
73,2287.64,1.21813,1.12332,1.00775,0.92532,0.91792,0.9362,0.40581,1.96119,1.32845,1.25399,0.0005744,0.0005744,0.0005744
74,2319.21,1.24998,1.09447,1.0012,0.9254,0.9189,0.94272,0.41593,1.93826,1.32484,1.23671,0.0005546,0.0005546,0.0005546
75,2352.37,1.1213,1.02019,0.9271,0.88847,0.88519,0.90499,0.42043,1.87967,1.31342,1.2173,0.0005348,0.0005348,0.0005348
76,2384.55,1.17669,1.0882,0.94943,0.8359,0.84904,0.86875,0.39784,1.89516,1.30266,1.23413,0.000515,0.000515,0.000515
77,2416.04,1.25976,1.03226,0.98987,0.8359,0.84904,0.86875,0.39784,1.89516,1.30266,1.23413,0.0004952,0.0004952,0.0004952
78,2447.45,1.16947,0.96111,0.95077,0.84901,0.83302,0.8474,0.38816,1.91749,1.28103,1.25002,0.0004754,0.0004754,0.0004754
79,2478.92,1.26003,1.00461,0.96104,0.8319,0.83333,0.84168,0.39882,1.91228,1.24748,1.25122,0.0004556,0.0004556,0.0004556
80,2510.51,1.1244,0.97679,0.97565,0.90884,0.92317,0.89496,0.40893,1.93248,1.22459,1.26129,0.0004358,0.0004358,0.0004358
81,2541.95,1.10658,0.94425,0.93066,0.90884,0.92317,0.89496,0.40893,1.93248,1.22459,1.26129,0.000416,0.000416,0.000416
82,2573.29,1.10158,0.9408,0.94198,0.90701,0.90319,0.91016,0.39465,1.9689,1.22371,1.2778,0.0003962,0.0003962,0.0003962
83,2605.65,1.17673,1.01475,0.99096,0.92771,0.87037,0.91192,0.37603,1.98518,1.2251,1.28732,0.0003764,0.0003764,0.0003764
84,2637.84,1.13927,0.95963,0.94974,0.8416,0.8856,0.86901,0.36585,1.9986,1.221,1.29212,0.0003566,0.0003566,0.0003566
