epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.2815,2.44716,5.80868,1.25962,0.00093,0.28,0.00086,0.00021,3.00245,5.46783,1.64485,2e-05,2e-05,2e-05
2,38.4241,2.4211,4.90621,1.41181,0.00187,0.56,0.00221,0.00062,2.735,5.23029,1.50679,5.9406e-05,5.9406e-05,5.9406e-05
3,58.0118,2.14633,4.94468,1.24216,0.00267,0.8,0.00404,0.00147,2.38368,4.86727,1.33919,9.802e-05,9.802e-05,9.802e-05
4,75.451,1.99551,4.81856,1.15762,0.00293,0.88,0.00725,0.00298,1.94002,4.49396,1.1544,0.000135842,0.000135842,0.000135842
5,96.8129,1.75166,4.02603,1.0669,0.00307,0.92,0.01038,0.00471,1.67577,4.40526,1.06397,0.000172872,0.000172872,0.000172872
6,114.714,1.64303,3.88375,1.07424,0.00293,0.88,0.0119,0.00524,1.59448,4.36352,1.05194,0.00020911,0.00020911,0.00020911
7,131.396,1.76683,3.03526,1.08977,0.00307,0.92,0.01344,0.00601,1.66135,4.36207,1.07782,0.000244556,0.000244556,0.000244556
8,147.636,1.9754,3.22716,1.15039,0.00307,0.92,0.01286,0.00598,1.58164,4.43001,1.08621,0.00027921,0.00027921,0.00027921
9,163.624,1.90326,2.77157,1.29279,0.00307,0.92,0.01227,0.0053,1.55875,4.38832,1.09627,0.000313072,0.000313072,0.000313072
10,180.13,1.95765,2.3127,1.22196,0.00307,0.92,0.01152,0.00481,1.56501,4.3902,1.10396,0.000346142,0.000346142,0.000346142
11,196.297,1.73167,2.77594,1.1429,0.0028,0.84,0.00907,0.00379,1.58371,4.29741,1.11665,0.00037842,0.00037842,0.00037842
12,212.834,1.66986,2.40808,1.09057,0.00293,0.88,0.00823,0.00326,1.57401,4.33048,1.12151,0.000409906,0.000409906,0.000409906
13,230.592,1.69553,2.40014,1.07793,0.00307,0.92,0.00914,0.00356,1.61726,4.33259,1.14135,0.0004406,0.0004406,0.0004406
14,246.807,1.84267,2.2144,1.2118,0.00307,0.92,0.0084,0.00353,1.64495,4.34677,1.13496,0.000470502,0.000470502,0.000470502
15,263.209,1.67044,2.60851,1.11966,0.00307,0.92,0.00826,0.00327,1.65588,4.3921,1.143,0.000499612,0.000499612,0.000499612
16,279.34,1.6092,2.22619,1.26379,0.00307,0.92,0.00836,0.00306,1.69278,4.32397,1.15325,0.00052793,0.00052793,0.00052793
17,295.675,1.65176,2.01741,1.19294,0.0028,0.84,0.00757,0.00277,1.72736,4.31353,1.15202,0.000555456,0.000555456,0.000555456
18,312.139,1.73917,2.15339,1.19283,0.00293,0.88,0.00805,0.00265,1.76722,4.34904,1.1661,0.00058219,0.00058219,0.00058219
19,328.149,1.59989,1.83579,1.17712,0.00267,0.8,0.00694,0.00223,1.84666,4.35486,1.19003,0.000608132,0.000608132,0.000608132
20,344.18,1.62529,2.30091,1.12663,0.00253,0.76,0.00617,0.00212,1.84991,4.51506,1.21572,0.000633282,0.000633282,0.000633282
21,360.467,1.95723,2.55143,1.27757,0.002,0.6,0.00318,0.00119,1.9409,4.59039,1.27579,0.00065764,0.00065764,0.00065764
22,376.586,1.62568,2.37932,1.21187,0.00187,0.56,0.00266,0.00086,1.79628,4.53732,1.2127,0.000681206,0.000681206,0.000681206
23,392.551,1.68907,2.17081,1.13287,0.00173,0.52,0.00241,0.00072,1.70645,4.50673,1.19258,0.00070398,0.00070398,0.00070398
24,408.501,1.86187,1.9278,1.23009,0.00147,0.44,0.00221,0.0007,1.82779,4.4925,1.24551,0.000725962,0.000725962,0.000725962
25,425.621,1.73215,1.99262,1.17476,0.00147,0.44,0.00224,0.00072,1.87983,4.54551,1.25662,0.000747152,0.000747152,0.000747152
26,441.413,1.63925,1.89376,1.09306,0.0016,0.48,0.00254,0.0008,1.8102,4.94743,1.21612,0.00076755,0.00076755,0.00076755
27,457.664,1.48317,1.87299,1.12643,0.00147,0.44,0.00221,0.00081,1.66036,5.12557,1.15933,0.000787156,0.000787156,0.000787156
28,473.709,1.4899,1.65473,1.11167,0.00147,0.44,0.00221,0.00081,1.66036,5.12557,1.15933,0.00080597,0.00080597,0.00080597
29,490.032,1.58319,2.01069,1.10266,0.00173,0.52,0.00283,0.00097,1.73722,4.83702,1.19584,0.000823992,0.000823992,0.000823992
30,505.879,1.52771,1.7176,1.11027,0.00227,0.68,0.00444,0.00167,1.73133,4.3284,1.19344,0.000841222,0.000841222,0.000841222
31,521.513,1.54514,2.23163,1.14037,0.00227,0.68,0.00444,0.00167,1.73133,4.3284,1.19344,0.00085766,0.00085766,0.00085766
32,537.435,1.56642,2.28601,1.19367,0.00253,0.76,0.00503,0.00204,1.70573,4.12955,1.17128,0.000873306,0.000873306,0.000873306
33,553.475,1.65076,1.82372,1.0695,0.0028,0.84,0.00666,0.00266,1.7701,4.09854,1.18384,0.00088816,0.00088816,0.00088816
